SourceNodeID,DestinationNodeID,RegeneratorLocations,NumberOfRegenerators,OPCLocations,ResidualDistance_km
13,10,None,0,37,960.0
13,11,37,1,36,959.99
13,12,None,0,37,960.0
13,14,None,0,37,720.0
13,15,"37,36",2,40,0.01
13,16,37,1,36,1039.99
13,17,None,0,37,1120.0
13,18,37,1,38,1199.99
13,19,"37,46,45",3,"41,44",160.0
13,20,"37,46",2,"41,45",160.01
13,21,37,1,46,1199.99
13,22,37,1,41,879.99
13,23,37,1,41,1039.99
13,24,"37,38",2,42,0.01
14,1,"38,34,33",3,30,0.0
14,2,"38,34,33",3,30,0.0
14,3,"38,34,33",3,31,0.0
14,4,"38,34,33",3,31,0.0
14,5,"38,34",2,32,0.01
14,6,"38,34",2,33,0.01
14,7,"38,34",2,33,0.01
14,8,38,1,34,959.99
14,9,38,1,34,1039.99
14,10,None,0,38,880.0
14,11,"38,37",2,36,0.01
14,12,38,1,37,959.99
14,13,None,0,38,720.0
14,15,"38,37,36",3,40,0.0
14,16,"38,37",2,36,0.01
14,17,38,1,37,1119.99
14,18,None,0,38,1200.0
14,19,"38,37,46,45",4,"41,44",1600.0
14,20,"38,37,46",3,"41,45",400.01
14,21,"38,37",2,46,320.01
14,22,"38,37",2,41,0.01
14,23,"38,37",2,41,0.01
14,24,38,1,42,959.99
15,1,"39,35",2,30,0.01
15,2,"39,35",2,30,0.01
15,3,"39,40,36,33",4,31,0.0
15,4,"39,40,36,33",4,31,0.0
15,5,"39,40,36,33,31",5,28,0.0
15,6,"39,35",2,None,0.0
15,7,"39,40,36",3,33,0.0
15,8,"39,40,36,37",4,34,0.0
15,9,"39,40",2,36,0.01
15,10,"39,40,36",3,37,0.0
15,11,None,0,39,1360.0
15,12,39,1,40,1039.99
15,13,"39,40",2,36,0.01
15,14,"39,40,36",3,37,0.0
15,16,None,0,39,640.0
15,17,39,1,40,1039.99
15,18,"39,40",2,41,0.01
15,19,39,1,44,1199.99
15,20,None,0,39,1360.0
15,21,39,1,40,1039.99
15,22,None,0,40,160.0
15,23,40,1,"39,46",2079.98
15,24,"40,46",2,"39,47",1440.0
16,1,"40,36,33",3,30,0.0
16,2,"40,36,33",3,30,0.0
16,3,"40,36,33",3,31,0.0
16,4,"40,36,33",3,31,0.0
16,5,"40,36,33,31",4,28,0.0
16,6,"40,36",2,33,0.01
16,7,"40,36",2,33,0.01
