source,destination,total_distance,regenerators,opcs,residual_distance,status
14,19,4960.0,41;44,37;46,1760.0,OK
14,20,3760.0,41,37;46,2480.0,OK
14,21,3040.0,41,37;46,2160.0,OK
14,22,2720.0,41,37,1280.0,OK
14,23,2880.0,41,37,1440.0,OK
14,24,2160.0,42,,960.0,OK
15,1,4320.0,35;30,,1040.0,OK
15,2,4240.0,35;30,,960.0,OK
15,3,4800.0,36;33;31,40,1440.0,OK
15,4,4640.0,36;33,40;31,2480.0,OK
15,5,5440.0,36;33;28,40;31,1360.0,OK
15,6,3280.0,35,,1920.0,OK
15,7,3760.0,36;33,40,1440.0,OK
15,8,4560.0,36;34,40;37,1360.0,OK
15,9,2720.0,36,40,1440.0,OK
15,10,3600.0,36,40;37,2320.0,OK
15,11,1360.0,,,1360.0,OK
15,12,1680.0,,40,400.0,OK
15,13,2640.0,36,40,1360.0,OK
15,14,3360.0,36,40;37,2320.0,OK
15,16,640.0,,,640.0,OK
15,17,1680.0,,40,400.0,OK
15,18,2480.0,41,40,1200.0,OK
15,19,2560.0,44,,1200.0,OK
15,20,1360.0,,,1360.0,OK
15,21,1680.0,,40,400.0,OK
15,22,1440.0,,40,160.0,OK
15,23,2080.0,46,40,800.0,OK
15,24,3040.0,46,40;47,2080.0,OK
16,1,4320.0,36;33;30,,1040.0,OK
16,2,4240.0,36;33;30,,960.0,OK
16,3,4160.0,36;33;31,,1040.0,OK
16,4,4000.0,36;33,31,2080.0,OK
16,5,4800.0,36;33;28,31,960.0,OK
16,6,3280.0,36;33,,1200.0,OK
16,7,3120.0,36;33,,1040.0,OK
16,8,3920.0,37,36;34,2000.0,OK
16,9,2080.0,36,,1040.0,OK
16,10,2960.0,37,36,1040.0,OK
16,11,2000.0,,39,720.0,OK
16,12,1040.0,,,1040.0,OK
16,13,2000.0,,36,80.0,OK
16,14,2720.0,37,36,800.0,OK
16,15,640.0,,,640.0,OK
16,17,1040.0,,,1040.0,OK
16,18,1840.0,,41,240.0,OK
16,19,2960.0,44,45,1520.0,OK
16,20,1760.0,,45,320.0,OK
16,21,1040.0,,,1040.0,OK
16,22,800.0,,,800.0,OK
16,23,1440.0,,46,160.0,OK
16,24,2400.0,47,46,1120.0,OK
17,1,5360.0,40;36;33;30,,1040.0,OK
17,2,5280.0,40;36;33;30,,960.0,OK
17,3,5200.0,40;36;33;31,,1040.0,OK
17,4,5040.0,40;36;33,31,2080.0,OK
17,5,4240.0,37;32,34,1200.0,OK
17,6,4320.0,40;36;33,,1200.0,OK
17,7,4160.0,40;36;33,,1040.0,OK
17,8,3040.0,37,34,1920.0,OK
17,9,3120.0,40;36,,1040.0,OK
17,10,2080.0,37,,960.0,OK
17,11,3040.0,39,40,1760.0,OK
17,12,2080.0,40,,1040.0,OK
17,13,1120.0,,,1120.0,OK
17,14,1840.0,,37,400.0,OK
17,15,1680.0,,40,400.0,OK
17,16,1040.0,,,1040.0,OK
17,18,800.0,,,800.0,OK
17,19,3120.0,44,46,1360.0,OK
17,20,1920.0,,46,160.0,OK
17,21,1200.0,,46,560.0,OK
17,22,880.0,,,880.0,OK
17,23,1040.0,,,1040.0,OK
17,24,1760.0,,42,160.0,OK
18,1,5360.0,38;33;30,34,1200.0,OK
18,2,5280.0,38;33;30,34,1120.0,OK
18,3,5200.0,38;33;31,34,1200.0,OK
18,4,5040.0,38;33,34;31,2240.0,OK
18,5,4240.0,38;32,34,1280.0,OK
18,6,4320.0,38;33,34,1360.0,OK
18,7,4160.0,38;33,34,1200.0,OK
18,8,3040.0,38,34,1920.0,OK
18,9,3120.0,38,34,2080.0,OK
18,10,2080.0,38,,880.0,OK
18,11,3840.0,40,41;39,2960.0,OK
18,12,2880.0,40,41,1280.0,OK
18,13,1920.0,,41,320.0,OK
18,14,1200.0,,,1200.0,OK
18,15,2480.0,40,41,880.0,OK
18,16,1840.0,,41,240.0,OK
18,17,800.0,,,800.0,OK
18,19,3920.0,45,41;44,2800.0,OK
18,20,2720.0,45,41,1120.0,OK
18,21,2000.0,,41,400.0,OK
18,22,1680.0,,41,80.0,OK
18,23,1840.0,,41,240.0,OK
18,24,960.0,,,960.0,OK
19,1,5600.0,,,0.0,UNREACHABLE
19,2,5520.0,,,0.0,UNREACHABLE
19,3,6160.0,,,0.0,UNREACHABLE
19,4,6000.0,,,0.0,UNREACHABLE
19,5,6800.0,,,0.0,UNREACHABLE
19,6,4560.0,,,0.0,UNREACHABLE
19,7,5120.0,,,0.0,UNREACHABLE
19,8,6080.0,,,0.0,UNREACHABLE
19,9,4080.0,,,0.0,UNREACHABLE
19,10,5120.0,,,0.0,UNREACHABLE
19,11,2640.0,,,0.0,UNREACHABLE
19,12,3600.0,,,0.0,UNREACHABLE
19,13,4240.0,45;41,44;46,2160.0,OK
19,14,4960.0,45;41,44;46;37,3280.0,OK
19,15,2560.0,44,,1360.0,OK
19,16,2960.0,45,44,1520.0,OK
19,17,3120.0,45,44;46,2240.0,OK
19,18,3920.0,45,44;41,2880.0,OK
19,20,1200.0,,,1200.0,OK
19,21,1920.0,,44,480.0,OK
19,22,2240.0,45,44,800.0,OK
19,23,2880.0,45,44;46,1760.0,OK
19,24,3840.0,45,44;47,2400.0,OK
20,1,5680.0,39;35;30,,1040.0,OK
20,2,5600.0,39;35;30,,960.0,OK
20,3,5920.0,40;36;33;31,45,1360.0,OK
20,4,5760.0,40;36;33,45;31,2400.0,OK
20,5,6160.0,41;37;32,46;34,1360.0,OK
20,6,4640.0,39;35,,1920.0,OK
20,7,4880.0,40;36;33,45,1360.0,OK
20,8,4960.0,41;37,46;34,2080.0,OK
20,9,3840.0,40;36,45,1360.0,OK
20,10,4000.0,41;37,46,1120.0,OK
20,11,2720.0,39,,1360.0,OK
20,12,2800.0,40,45,1360.0,OK
20,13,3040.0,41,46,1280.0,OK
20,14,3760.0,41,46;37,2400.0,OK
20,15,1360.0,,,1360.0,OK
20,16,1760.0,,45,320.0,OK
20,17,1920.0,,46,160.0,OK
20,18,2720.0,41,46,960.0,OK
20,19,1200.0,,,1200.0,OK
20,21,720.0,,,720.0,OK
20,22,1040.0,,45,400.0,OK
20,23,1680.0,,45,240.0,OK
20,24,2640.0,47,45,1200.0,OK
21,1,5360.0,40;36;33;30,,1040.0,OK
21,2,5280.0,40;36;33;30,,960.0,OK
21,3,5200.0,40;36;33;31,,1040.0,OK
21,4,5040.0,40;36;33,31,2080.0,OK
21,5,5440.0,41;37;32,46;34,1760.0,OK
21,6,4320.0,40;36;33,,1200.0,OK
21,7,4160.0,40;36;33,,1040.0,OK
21,8,4240.0,41;37,46;34,2480.0,OK
21,9,3120.0,40;36,,1040.0,OK
21,10,3280.0,41;37,46,1520.0,OK
21,11,3040.0,39,40,1760.0,OK
21,12,2080.0,40,,1040.0,OK
21,13,2320.0,41,46,1680.0,OK
21,14,3040.0,41,46;37,2800.0,OK
21,15,1680.0,,40,400.0,OK
21,16,1040.0,,,1040.0,OK
21,17,1200.0,,46,560.0,OK
21,18,2000.0,,41,400.0,OK
21,19,1920.0,,44,480.0,OK
21,20,720.0,,,720.0,OK
21,22,320.0,,,320.0,OK
21,23,960.0,,46,320.0,OK
21,24,1920.0,,47,0.0,OK
22,1,5120.0,36;33;30,40,1280.0,OK
22,2,5040.0,36;33;30,40,1200.0,OK
22,3,4960.0,36;33;31,40,1280.0,OK
22,4,4800.0,36;33,40;31,2320.0,OK
22,5,5120.0,37;32,41;34,1440.0,OK
22,6,4080.0,36;33,40,1440.0,OK
22,7,3920.0,36;33,40,1280.0,OK
22,8,3920.0,37,41;34,2160.0,OK
22,9,2880.0,36,40,1280.0,OK
22,10,2960.0,37,41,1200.0,OK
22,11,2800.0,39,40,1520.0,OK
22,12,1840.0,,40,240.0,OK
22,13,2000.0,,41,240.0,OK
22,14,2720.0,37,41,960.0,OK
22,15,1440.0,,40,160.0,OK
22,16,800.0,,,800.0,OK
22,17,880.0,,,880.0,OK
22,18,1680.0,,41,80.0,OK
22,19,2240.0,44,45,1600.0,OK
22,20,1040.0,,45,400.0,OK
22,21,320.0,,,320.0,OK
22,23,640.0,,,640.0,OK
22,24,1600.0,,47,320.0,OK
23,1,5760.0,40;36;33;30,46,1200.0,OK
23,2,5680.0,40;36;33;30,46,1120.0,OK
23,3,5600.0,40;36;33;31,46,1200.0,OK
23,4,5440.0,40;36;33,46;31,2240.0,OK
23,5,5280.0,41;37;32,34,1200.0,OK
23,6,4720.0,40;36;33,46,1360.0,OK
23,7,4560.0,40;36;33,46,1200.0,OK
23,8,4080.0,41;37,34,1920.0,OK
23,9,3520.0,40;36,46,1200.0,OK
23,10,3120.0,41;37,,960.0,OK
23,11,3440.0,40,46;39,2880.0,OK
23,12,2480.0,40,46,1200.0,OK
23,13,2160.0,41,,1120.0,OK
23,14,2880.0,41,37,2240.0,OK
23,15,2080.0,40,46,800.0,OK
23,16,1440.0,,46,160.0,OK
23,17,1040.0,,,1040.0,OK
23,18,1840.0,,41,240.0,OK
23,19,2880.0,44,45,1440.0,OK
23,20,1680.0,,45,240.0,OK
23,21,960.0,,46,320.0,OK
23,22,640.0,,,640.0,OK
23,24,960.0,,,960.0,OK
24,1,6320.0,42;38;33;30,34,1200.0,OK
24,2,6240.0,42;38;33;30,34,1120.0,OK
24,3,6160.0,42;38;33;31,34,1200.0,OK
24,4,6000.0,42;38;33,34;31,2240.0,OK
24,5,5200.0,42;38;32,34,1280.0,OK
24,6,5280.0,42;38;33,34,1360.0,OK
24,7,5120.0,42;38;33,34,1200.0,OK
24,8,4000.0,42;38,34,1920.0,OK
24,9,4080.0,42;38,34,2080.0,OK
24,10,3040.0,42;38,,880.0,OK
24,11,4400.0,46;39,47;40,1840.0,OK
24,12,3440.0,46,47;40,2400.0,OK
24,13,2880.0,41,42,1280.0,OK
24,14,2160.0,42,,1200.0,OK
24,15,3040.0,46,47;40,1920.0,OK
24,16,2400.0,46,47,1120.0,OK
24,17,1760.0,,42,160.0,OK
24,18,960.0,,,960.0,OK
24,19,3840.0,45,47;44,2400.0,OK
24,20,2640.0,45,47,720.0,OK
24,21,1920.0,,47,0.0,OK
24,22,1600.0,,47,320.0,OK
24,23,960.0,,,960.0,OK
